16:36:13 frame 121 | CUT_IN_PROGRESS pending idle 1 | GRASPING - 0 0
16:36:17 frame 135 | CUT_COMPLETED pending idle 1 | LIFTING - 0 0
16:36:20 frame 148 | CUT_COMPLETED pending idle 1 | MOVING_TO_CONTAINER - 0 0
16:36:24 frame 163 | CUT_COMPLETED pending idle 1 | RELEASING - 0 0
16:36:28 frame 178 | WAIT_FOR_OPERATOR_APPROVAL pending idle 1 | ITEM_COMPLETED - 1 0
16:36:32 frame 195 | PICK_ITEM approved picking 2 | MOVING_TO_PICK tube-short-a 1 0
16:36:35 frame 209 | VERIFY_PICK approved picking 2 | MOVING_TO_CONTAINER tube-short-a 1 0
16:36:39 frame 222 | PLACE_ITEM approved placing 2 | MOVING_TO_CONTAINER tube-short-a 1 0
16:36:42 frame 224 | PLACE_ITEM approved placing 2 | RELEASING tube-short-a 1 0
16:36:46 frame 238 | PICK_ITEM approved picking 2 | None tube-long-s1 2 0
16:36:49 frame 252 | VERIFY_PICK approved picking 2 | LIFTING tube-long-s1 2 0
16:36:53 frame 267 | PLACE_ITEM approved placing 2 | MOVING_TO_CONTAINER tube-long-s1 2 0
16:36:56 frame 281 | PLACE_ITEM approved placing 2 | RELEASING tube-long-s1 2 0
16:37:00 frame 296 | PICK_ITEM approved picking 2 | MOVING_TO_PICK tube-short-b 3 0
16:37:03 frame 310 | VERIFY_PICK approved picking 2 | LIFTING tube-short-b 3 0
16:37:07 frame 324 | PLACE_ITEM approved placing 2 | MOVING_TO_CONTAINER tube-short-b 3 0
16:37:11 frame 337 | PLACE_ITEM approved placing 2 | RELEASING tube-short-b 3 0
16:37:14 frame 353 | COMPLETE approved idle 2 | ITEM_COMPLETED - 4 0
