22:31:24 frame 124 | CUT_IN_PROGRESS pending idle 1 | GRASPING - 0 0
22:31:28 frame 138 | CUT_COMPLETED pending idle 1 | LIFTING - 0 0
22:31:32 frame 152 | CUT_COMPLETED pending idle 1 | MOVING_TO_CONTAINER - 0 0
22:31:35 frame 167 | CUT_COMPLETED pending idle 1 | RELEASING - 0 0
22:31:39 frame 182 | WAIT_FOR_OPERATOR_APPROVAL pending idle 1 | ITEM_COMPLETED - 1 0
22:31:43 frame 199 | PICK_ITEM approved picking 2 | GRASPING tube-mid 1 0
22:31:46 frame 212 | PLACE_ITEM approved placing 2 | MOVING_TO_CONTAINER tube-mid 1 0
22:31:50 frame 226 | PLACE_ITEM approved placing 2 | RELEASING tube-mid 1 0
22:31:53 frame 240 | VERIFY_PLACEMENT approved placing 2 | ITEM_COMPLETED - 2 0
22:31:57 frame 254 | PICK_ITEM approved picking 2 | GRASPING tube-short-a 2 0
22:32:00 frame 268 | PLACE_ITEM approved placing 2 | MOVING_TO_CONTAINER tube-short-a 2 0
22:32:04 frame 282 | PLACE_ITEM approved placing 2 | RELEASING tube-short-a 2 0
22:32:15 frame 325 | PLACE_ITEM approved placing 2 | SETTLING tube-short-a 2 0
22:32:18 frame 339 | PICK_ITEM approved picking 2 | MOVING_TO_PICK tube-short-b 3 0
22:32:22 frame 353 | VERIFY_PICK approved picking 2 | MOVING_TO_CONTAINER tube-short-b 3 0
22:32:25 frame 367 | PLACE_ITEM approved placing 2 | MOVING_TO_CONTAINER tube-short-b 3 0
22:32:29 frame 381 | PLACE_ITEM approved placing 2 | SETTLING tube-short-b 3 0
22:32:32 frame 398 | WAIT_FOR_OPERATOR_APPROVAL pending idle 2 | ITEM_COMPLETED - 4 0
